Geneid	GSE171968__A08_72H_1	GSE171968__A08_72H_2	GSE171968__A08_72H_3	GSE171968__K09_72H_1	GSE171968__K09_72H_2	GSE171968__K09_72H_3	GSE171968__A08_48H_1	GSE171968__A08_12H_1	GSE171968__A08_48H_2	GSE171968__A08_48H_3	GSE171968__K09_48H_1	GSE171968__K09_48H_2	GSE171968__K09_48H_3	GSE171968__A08_12H_3	CRA014990__RNA seqence for H10 at 72 h Rep1	CRA014990__RNA seqence for H10 at 72 h Rep2	CRA014990__RNA seqence for H10 at 72 h Rep3	CRA014990__RNA seqence for H10 at 96 h Rep1	CRA014990__RNA seqence for H10 at 96 h Rep2	CRA014990__RNA seqence for H10 at 96 h Rep3	GSE174081__15-N-96-1	GSE174081__15-K-96-1	GSE174081__15-N-72-1	GSE174081__15-K-72-1	GSE174081__15-K-72-2	GSE174081__15-N-72-2	GSE174081__15-K-96-2	GSE174081__15-N-96-2	GSE174081__15-K-96-3	GSE174081__15-K-72-3	GSE174081__3-K-96-1	GSE174081__3-N-96-1	GSE174081__3-N-72-1	GSE174081__3-K-72-1	GSE174081__3-N-72-2	GSE174081__3-K-72-2	GSE174081__3-N-96-2	GSE174081__3-K-96-2	GSE174081__3-N-96-3	GSE174081__3-K-96-3	GSE174081__3-K-72-3	GSE174081__3-N-72-3	GSE174081__NIV-N-72-1	GSE174081__NIV-K-72-1	GSE174081__NIV-N-96-1	GSE174081__NIV-K-96-1	GSE174081__NIV-N-72-2	GSE174081__NIV-K-72-2	GSE174081__NIV-K-96-2	GSE174081__NIV-N-96-2	GSE174081__NIV-K-72-3	GSE174081__NIV-N-72-3	GSE174081__NIV-K-96-3	GSE174081__NIV-N-96-3
FGRAMPH1_01G05849	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.09917747	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G05851	12.16557622	13.44370508	8.49812270	10.94676370	10.15864156	8.08980245	0.00000000	0.00000000	11.65840785	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.56676628	3.57604801	5.29626793	9.07958833	2.14639042	4.38787710	5.47486780	0.00000000	0.00000000	3.14830470	3.07225099	7.03374962	0.00000000	7.19127800	28.05994862	5.43797068	6.29890724	0.00000000	0.00000000	5.77367959	0.00000000	7.46624139	6.06199357	5.66915113	0.00000000	3.84439974	0.00000000	3.04803573	8.46192755	0.00000000	6.29987866	8.50757181	0.00000000	0.00000000	0.00000000	18.18936379	0.00000000	0.00000000	4.19217521	4.78768643
FGRAMPH1_01G05853	34.66528391	35.38622423	24.51398456	35.84159361	40.10221088	37.22397254	0.00000000	0.00000000	33.04436168	0.00000000	0.00000000	60.21773650	0.00000000	0.00000000	28.19957342	32.20478206	29.06508547	15.33149318	19.93378211	40.75073448	25.95621990	0.00000000	33.07951750	39.87092548	31.12620969	33.25548087	0.00000000	20.95979567	47.38110310	6.12158520	18.99308367	40.91834013	46.50162465	34.42702066	9.73450576	18.91087317	30.70824681	33.66414091	11.03014987	13.79449383	15.60669043	20.58725010	7.14426579	0.00000000	37.23218510	30.52691053	16.34096923	0.00000000	32.78757620	15.35697967	11.43474148	0.00000000	49.55138091	22.42749415
FGRAMPH1_01G05855	12.58104947	13.08501497	17.88505652	20.92642127	11.95513501	11.62445039	0.00000000	88.86966934	16.67975290	0.00000000	0.00000000	0.00000000	0.00000000	35.04764570	23.02751985	13.49509686	6.91849728	17.79095429	16.82293623	3.82124623	12.83656713	0.00000000	0.00000000	16.45048003	16.05308520	13.47597366	0.00000000	12.41634159	0.00000000	6.31431387	16.45648336	21.10329548	47.96565659	12.25597514	0.00000000	11.37864750	12.67001944	15.79859919	22.75483426	10.88084109	21.46405734	7.96327797	7.36919198	51.48433102	32.91804260	20.99200215	8.42771972	45.29863579	2.81832021	15.84047049	0.00000000	29.50121238	14.60326563	11.56679461
FGRAMPH1_01G05857	19.75197487	22.35582417	12.44481638	15.29966974	22.86542705	15.14338301	0.00000000	0.00000000	3.18126699	0.00000000	45.04183125	0.00000000	0.00000000	0.00000000	15.94972361	27.32261399	27.31446046	36.42037117	24.59908122	40.23042378	27.67245192	14.31784189	0.00000000	57.73071083	61.03078365	40.84316633	119.86936636	52.26903299	42.87812374	34.62378334	41.93879167	18.51478265	63.12334301	38.59931860	140.94981003	31.37499191	27.78981324	30.89793532	69.87310764	42.83554012	84.74082189	30.27487171	142.23644518	30.11287026	24.06695218	56.33478260	51.75787795	79.48468489	51.92517481	27.79498287	113.82814053	77.64785394	57.65418497	81.06616866
FGRAMPH1_01G05859	26.91084089	23.01303153	25.06434260	27.92901253	39.30133965	25.45071344	0.00000000	80.26108932	25.54335087	0.00000000	23.18297628	37.39787459	0.00000000	79.13167233	8.75659043	6.56269437	4.16554663	7.14115092	6.75259598	10.35327532	23.84870679	44.21625581	30.81576257	29.71392731	9.66537563	43.15027429	30.84830922	37.08357854	0.00000000	25.66198018	53.78768070	57.17721793	64.97901719	39.45023095	27.20501153	30.82928011	57.21353357	35.07606261	25.68828880	37.79554439	29.07733262	35.95947691	19.96607099	0.00000000	14.86467755	39.58993415	15.22269567	0.00000000	48.36101652	57.22417679	37.28276796	0.00000000	42.86322378	24.41530284
FGRAMPH1_01G05861	14.58309457	20.68262319	9.87815972	6.51739777	7.65946086	11.98950209	0.00000000	0.00000000	1.45196288	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	4.85307830	12.47032126	23.08629611	39.57769272	26.19697026	38.25328756	5.87441436	0.00000000	0.00000000	0.00000000	5.35674531	2.45279474	0.00000000	7.74124641	0.00000000	0.00000000	4.70687574	0.00000000	0.00000000	6.92101335	0.00000000	3.25451548	6.34177789	6.58978251	0.00000000	2.23435198	0.00000000	0.00000000	0.00000000	0.00000000	32.95321145	4.94457165	0.00000000	0.00000000	11.28532493	0.00000000	0.00000000	0.00000000	14.61886741	11.04058707
FGRAMPH1_01G05863	5.03914223	14.41274372	29.33362149	22.56087746	20.47058956	26.80722355	0.00000000	169.07792929	17.93653234	0.00000000	0.00000000	39.39116232	0.00000000	0.00000000	9.22331225	7.89998017	19.74405670	11.28265596	14.22501184	0.00000000	14.65323460	31.04863987	0.00000000	20.86510970	20.36107050	0.00000000	0.00000000	6.21646384	0.00000000	0.00000000	25.34545067	40.14982308	45.62824388	21.52380858	38.20669977	18.55569434	12.05259717	17.53350458	10.82298462	6.36960443	30.62713969	20.20058601	0.00000000	0.00000000	0.00000000	10.57184558	32.06811524	0.00000000	21.44784596	0.00000000	11.21997730	0.00000000	0.00000000	15.86498326
FGRAMPH1_01G05865	31.20798115	43.79266803	35.06450946	42.79070265	46.86489286	48.75195920	0.00000000	66.48373667	14.10577593	0.00000000	0.00000000	0.00000000	0.00000000	39.32891499	14.50692626	14.75530228	26.74139593	4.43649346	19.57713706	5.71737759	26.06551522	36.62623984	25.52603087	36.91999950	62.04843190	37.57622790	76.65897202	41.18810557	54.84291754	25.98069185	31.65726244	78.93727691	35.88328960	38.79082934	0.00000000	34.04963738	37.91395837	34.22583091	46.81318897	35.06460884	52.18636377	45.67308145	44.10336373	0.00000000	36.93916876	18.01363707	25.21923634	0.00000000	10.54198017	47.40126420	22.05923682	0.00000000	16.38713760	20.92858007
FGRAMPH1_01G05867	12.43256883	10.46761769	20.40198159	25.36241435	26.29468064	24.88077410	0.00000000	39.72847337	16.20989096	0.00000000	22.95070409	18.51159107	0.00000000	31.33553819	36.84264401	22.27523034	9.27857626	37.11541642	28.41099992	3.41651500	19.01897703	0.00000000	30.50701686	22.06216573	19.13707485	23.00197204	0.00000000	21.03395112	21.84820427	12.70243532	18.91732882	18.86811819	42.88532464	16.01534978	17.95496149	15.98687565	18.88010212	19.86366695	0.00000000	16.46342177	33.58367178	26.10607698	26.35470566	15.34377168	34.33674323	16.56054054	0.00000000	0.00000000	22.67833426	0.00000000	10.54549394	26.37656107	16.32068213	16.71505004
FGRAMPH1_01G05869	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G05871	0.00000000	0.00000000	2.52621789	0.00000000	0.48970324	0.72145123	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.33705117	0.00000000	0.57140805	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G05873	0.00000000	0.70640158	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
